1556199372.262068 GLOBAL_POSITION_INT {time_boot_ms : 14776655, lat : 535074908, lon : 492263868, alt : 54360, relative_alt : 360, vx : -45, vy : -39, vz : 2, hdg : 30361}
1556199380.259106 GLOBAL_POSITION_INT {time_boot_ms : 14784655, lat : 535074557, lon : 492263337, alt : 54310, relative_alt : 315, vx : -45, vy : -43, vz : -5, hdg : 31327}
1556199387.260308 GLOBAL_POSITION_INT {time_boot_ms : 14791655, lat : 535074286, lon : 492262845, alt : 54340, relative_alt : 344, vx : -40, vy : -47, vz : 2, hdg : 31765}
1556199395.268635 GLOBAL_POSITION_INT {time_boot_ms : 14799655, lat : 535073993, lon : 492262239, alt : 54320, relative_alt : 329, vx : -41, vy : -50, vz : -5, hdg : 32503}
1556199403.258264 GLOBAL_POSITION_INT {time_boot_ms : 14807655, lat : 535073723, lon : 492261601, alt : 54290, relative_alt : 297, vx : -36, vy : -53, vz : 0, hdg : 33051}
1556199411.257428 GLOBAL_POSITION_INT {time_boot_ms : 14815655, lat : 535073498, lon : 492260947, alt : 54360, relative_alt : 368, vx : -27, vy : -61, vz : -1, hdg : 34024}
1556199418.25421 GLOBAL_POSITION_INT {time_boot_ms : 14822655, lat : 535073317, lon : 492260372, alt : 54440, relative_alt : 440, vx : -28, vy : -56, vz : -9, hdg : 34456}
1556199426.253972 GLOBAL_POSITION_INT {time_boot_ms : 14830656, lat : 535073135, lon : 492259703, alt : 54470, relative_alt : 472, vx : -30, vy : -59, vz : 0, hdg : 34473}
1556199434.25179 GLOBAL_POSITION_INT {time_boot_ms : 14838655, lat : 535072925, lon : 492259003, alt : 54540, relative_alt : 542, vx : -28, vy : -55, vz : -5, hdg : 34882}
1556199441.250729 GLOBAL_POSITION_INT {time_boot_ms : 14845655, lat : 535072755, lon : 492258399, alt : 54500, relative_alt : 509, vx : -26, vy : -59, vz : -3, hdg : 35166}
1556199449.250685 GLOBAL_POSITION_INT {time_boot_ms : 14853655, lat : 535072549, lon : 492257715, alt : 54510, relative_alt : 519, vx : -26, vy : -58, vz : 1, hdg : 35399}
1556199457.24895 GLOBAL_POSITION_INT {time_boot_ms : 14861655, lat : 535072351, lon : 492257001, alt : 54520, relative_alt : 524, vx : -25, vy : -60, vz : 3, hdg : 35535}
1556199465.248188 GLOBAL_POSITION_INT {time_boot_ms : 14869655, lat : 535072151, lon : 492256290, alt : 54620, relative_alt : 620, vx : -25, vy : -58, vz : 0, hdg : 73}
1556199472.249066 GLOBAL_POSITION_INT {time_boot_ms : 14876655, lat : 535072005, lon : 492255670, alt : 54580, relative_alt : 583, vx : -21, vy : -57, vz : -3, hdg : 398}
1556199480.24751 GLOBAL_POSITION_INT {time_boot_ms : 14884655, lat : 535071829, lon : 492254985, alt : 54580, relative_alt : 588, vx : -24, vy : -56, vz : -1, hdg : 475}
1556199488.244847 GLOBAL_POSITION_INT {time_boot_ms : 14892655, lat : 535071669, lon : 492254301, alt : 54640, relative_alt : 642, vx : -20, vy : -56, vz : 4, hdg : 864}
1556199496.255164 GLOBAL_POSITION_INT {time_boot_ms : 14900655, lat : 535071493, lon : 492253608, alt : 54660, relative_alt : 662, vx : -25, vy : -60, vz : 0, hdg : 940}
1556199503.24313 GLOBAL_POSITION_INT {time_boot_ms : 14907655, lat : 535071314, lon : 492252984, alt : 54720, relative_alt : 729, vx : -27, vy : -56, vz : 0, hdg : 1145}
1556199511.241095 GLOBAL_POSITION_INT {time_boot_ms : 14915655, lat : 535071148, lon : 492252284, alt : 54780, relative_alt : 784, vx : -21, vy : -60, vz : 0, hdg : 1754}
1556199519.243755 GLOBAL_POSITION_INT {time_boot_ms : 14923655, lat : 535071003, lon : 492251599, alt : 54850, relative_alt : 857, vx : -14, vy : -57, vz : 1, hdg : 2166}
1556199527.250704 GLOBAL_POSITION_INT {time_boot_ms : 14931655, lat : 535070855, lon : 492250868, alt : 55020, relative_alt : 1024, vx : -20, vy : -63, vz : -5, hdg : 2889}
1556199534.2414 GLOBAL_POSITION_INT {time_boot_ms : 14938655, lat : 535070759, lon : 492250194, alt : 54950, relative_alt : 957, vx : -15, vy : -68, vz : -4, hdg : 3427}
1556199542.310611 GLOBAL_POSITION_INT {time_boot_ms : 14946655, lat : 535070671, lon : 492249455, alt : 54980, relative_alt : 989, vx : -14, vy : -63, vz : 2, hdg : 3817}
1556199550.239182 GLOBAL_POSITION_INT {time_boot_ms : 14954655, lat : 535070560, lon : 492248667, alt : 54980, relative_alt : 983, vx : -18, vy : -65, vz : -1, hdg : 4205}
1556199557.235979 GLOBAL_POSITION_INT {time_boot_ms : 14961655, lat : 535070489, lon : 492247969, alt : 55000, relative_alt : 1007, vx : -8, vy : -64, vz : 3, hdg : 4722}
1556199565.2372 GLOBAL_POSITION_INT {time_boot_ms : 14969655, lat : 535070443, lon : 492247167, alt : 55120, relative_alt : 1124, vx : -5, vy : -66, vz : -4, hdg : 5248}
1556199573.235928 GLOBAL_POSITION_INT {time_boot_ms : 14977655, lat : 535070434, lon : 492246362, alt : 55020, relative_alt : 1024, vx : 5, vy : -67, vz : 2, hdg : 5290}
1556199581.235383 GLOBAL_POSITION_INT {time_boot_ms : 14985655, lat : 535070142, lon : 492245675, alt : 55040, relative_alt : 1048, vx : -106, vy : -33, vz : 1, hdg : 34317}
1556199588.23545 GLOBAL_POSITION_INT {time_boot_ms : 14992655, lat : 535069694, lon : 492245586, alt : 55030, relative_alt : 1039, vx : -82, vy : -1, vz : 0, hdg : 31776}
1556199596.233271 GLOBAL_POSITION_INT {time_boot_ms : 15000655, lat : 535069248, lon : 492245811, alt : 55140, relative_alt : 1147, vx : -56, vy : 25, vz : 0, hdg : 31251}
1556199604.231686 GLOBAL_POSITION_INT {time_boot_ms : 15008656, lat : 535068772, lon : 492246002, alt : 55210, relative_alt : 1218, vx : -67, vy : 14, vz : -6, hdg : 31588}
1556199612.232195 GLOBAL_POSITION_INT {time_boot_ms : 15016656, lat : 535068313, lon : 492246188, alt : 55270, relative_alt : 1274, vx : -63, vy : 11, vz : 0, hdg : 32274}
1556199619.245002 GLOBAL_POSITION_INT {time_boot_ms : 15023655, lat : 535067893, lon : 492246309, alt : 55010, relative_alt : 1013, vx : -71, vy : 11, vz : 1, hdg : 32514}
1556199627.232998 GLOBAL_POSITION_INT {time_boot_ms : 15031655, lat : 535067404, lon : 492246464, alt : 55100, relative_alt : 1109, vx : -64, vy : 12, vz : 0, hdg : 32601}
1556199635.226911 GLOBAL_POSITION_INT {time_boot_ms : 15039655, lat : 535066933, lon : 492246612, alt : 55120, relative_alt : 1127, vx : -63, vy : 7, vz : -1, hdg : 33276}
1556199643.226456 GLOBAL_POSITION_INT {time_boot_ms : 15047655, lat : 535066450, lon : 492246710, alt : 55110, relative_alt : 1113, vx : -71, vy : 5, vz : -5, hdg : 33945}
1556199650.225501 GLOBAL_POSITION_INT {time_boot_ms : 15054655, lat : 535066027, lon : 492246733, alt : 54980, relative_alt : 987, vx : -63, vy : 3, vz : 1, hdg : 34394}
1556199658.226822 GLOBAL_POSITION_INT {time_boot_ms : 15062655, lat : 535065529, lon : 492246721, alt : 55000, relative_alt : 1006, vx : -68, vy : -5, vz : 1, hdg : 34931}
1556199666.224844 GLOBAL_POSITION_INT {time_boot_ms : 15070655, lat : 535065036, lon : 492246669, alt : 55100, relative_alt : 1108, vx : -65, vy : -7, vz : 1, hdg : 35604}
1556199673.222806 GLOBAL_POSITION_INT {time_boot_ms : 15077655, lat : 535064587, lon : 492246571, alt : 55060, relative_alt : 1064, vx : -68, vy : -9, vz : -1, hdg : 31}
1556199681.2244 GLOBAL_POSITION_INT {time_boot_ms : 15085655, lat : 535064074, lon : 492246441, alt : 55050, relative_alt : 1054, vx : -68, vy : -9, vz : -2, hdg : 353}
1556199689.220558 GLOBAL_POSITION_INT {time_boot_ms : 15093655, lat : 535063572, lon : 492246295, alt : 54990, relative_alt : 994, vx : -66, vy : -10, vz : 3, hdg : 924}
1556199697.222419 GLOBAL_POSITION_INT {time_boot_ms : 15101655, lat : 535063083, lon : 492246124, alt : 54950, relative_alt : 953, vx : -67, vy : -14, vz : 0, hdg : 1336}
1556199704.222984 GLOBAL_POSITION_INT {time_boot_ms : 15108656, lat : 535062649, lon : 492245949, alt : 55100, relative_alt : 1106, vx : -70, vy : -15, vz : -2, hdg : 1840}
1556199712.229449 GLOBAL_POSITION_INT {time_boot_ms : 15116655, lat : 535062152, lon : 492245670, alt : 55090, relative_alt : 1097, vx : -68, vy : -25, vz : -2, hdg : 2539}
1556199720.220232 GLOBAL_POSITION_INT {time_boot_ms : 15124655, lat : 535061648, lon : 492245363, alt : 55070, relative_alt : 1079, vx : -66, vy : -20, vz : 1, hdg : 2658}
1556199728.217772 GLOBAL_POSITION_INT {time_boot_ms : 15132655, lat : 535061164, lon : 492245060, alt : 55140, relative_alt : 1149, vx : -62, vy : -23, vz : 0, hdg : 3189}
1556199735.21801 GLOBAL_POSITION_INT {time_boot_ms : 15139655, lat : 535060752, lon : 492244785, alt : 55210, relative_alt : 1217, vx : -68, vy : -27, vz : -2, hdg : 3580}
1556199743.217124 GLOBAL_POSITION_INT {time_boot_ms : 15147655, lat : 535060290, lon : 492244455, alt : 55230, relative_alt : 1236, vx : -64, vy : -30, vz : -7, hdg : 3931}
1556199751.213666 GLOBAL_POSITION_INT {time_boot_ms : 15155655, lat : 535059835, lon : 492244084, alt : 55170, relative_alt : 1173, vx : -60, vy : -32, vz : 2, hdg : 4653}
1556199759.227556 GLOBAL_POSITION_INT {time_boot_ms : 15163655, lat : 535059394, lon : 492243682, alt : 55280, relative_alt : 1288, vx : -63, vy : -35, vz : -3, hdg : 4991}
